dataset,corruption,fold,val_score,test_score
1068,ftt,5,0.8932390334259492,0.9221953985560134
1068,ftt,6,0.9233516152947432,0.9038884335103695
1068,ftt,7,0.8887197056211139,0.9156912125747554
1068,ftt,8,0.9134486599275331,0.9289217274828786
1068,ftt,9,0.9134486599275331,0.909967521478313
1068,ftt,10,0.8841577426483087,0.9260788234535251
1068,ftt,11,0.9231264231264232,0.9255271755271756
1068,ftt,12,0.9304946455889852,0.9194337194337195
1068,ftt,13,0.8887197056211139,0.9232928768079414
1068,ftt,14,0.9134486599275331,0.9383988304851614
1068,ftt,15,0.9233516152947432,0.9162180724680725
1068,ftt,16,0.9615632115632115,0.8947349509875475
1068,ftt,17,0.9535622579100839,0.9221953985560134
1068,ftt,18,0.8887197056211139,0.9130419160331915
1068,ftt,19,0.9134486599275331,0.9130419160331915
1068,ftt,20,0.9301130353761933,0.9069089694089693
1068,ftt,21,0.901452076807527,0.9038884335103695
1068,ftt,22,0.9583011583011583,0.9167549902844021
1068,ftt,23,0.9166023166023166,0.9093599239584642
1068,ftt,24,0.9304946455889852,0.9147698631199349
1068,ftt,25,0.901452076807527,0.9289217274828786
1068,ftt,26,0.8841577426483087,0.9125065599580163
1068,ftt,27,0.9304946455889852,0.9124070884888814
1068,ftt,28,0.9134486599275331,0.9295045045045045
1068,ftt,29,0.9073261941186469,0.9295161422820998
1464,ftt,0,0.7880726484142045,0.6533333333333333
1464,ftt,1,0.7849627791563275,0.6802772115776601
1464,ftt,2,0.7769491525423728,0.6920248542694255
1464,ftt,3,0.8327118644067795,0.7021669394435353
1464,ftt,4,0.771080745341615,0.6802772115776601
1464,ftt,5,0.6563636363636364,0.6933271213091841
1464,ftt,6,0.6563636363636364,0.674982674982675
1464,ftt,7,0.7769491525423728,0.7303111111111112
1464,ftt,8,0.765936285936286,0.6884377564979479
1464,ftt,9,0.6563636363636364,0.7199999999999999
1464,ftt,10,0.8280000000000001,0.7253385817085922
1464,ftt,11,0.7706666666666666,0.699
1464,ftt,12,0.7235235732009925,0.6902857142857143
1464,ftt,13,0.7934731934731934,0.6483084907368294
1464,ftt,14,0.7335831381733021,0.7367693257425063
1464,ftt,15,0.6563636363636364,0.7160196399345337
1464,ftt,16,0.8398746081504702,0.699
1464,ftt,17,0.7631850117096018,0.6902857142857143
1464,ftt,18,0.7706666666666666,0.7089629211368341
1464,ftt,19,0.75424317617866,0.6583479918814196
1464,ftt,20,0.7641477272727273,0.7328110274984176
1464,ftt,21,0.8566666666666669,0.7474013402829487
1464,ftt,22,0.8107609005414648,0.6829083951207845
1464,ftt,23,0.8366734279918864,0.6768198757763976
1464,ftt,24,0.6447775175644027,0.6985423457777231
1464,ftt,25,0.7739837398373983,0.694306070105443
1464,ftt,26,0.752533485323454,0.6983001808318263
1464,ftt,27,0.6563636363636364,0.7263652802893309
1464,ftt,28,0.7648,0.7108624708624709
1464,ftt,29,0.7993333333333333,0.6783370700147333
1475,ftt,0,0.5813578757705269,0.5585321422114219
1475,ftt,1,0.5523144703784478,0.5499127839846308
1475,ftt,2,0.5276669025476954,0.5663796324556366
1475,ftt,3,0.5266733774077156,0.5576549301472571
1475,ftt,4,0.5684605000651844,0.5574175742594761
