,dataset,corruption,fold,val_score,test_score,Unnamed: 0
86,3,ftt,26,0.9968753973843552,0.998437389146172,
87,3,ftt,27,1.0,0.9968745412282848,
88,3,ftt,28,1.0,0.99375,
89,3,ftt,29,1.0,0.9953121674385152,
0,54,ftt,0,0.6991592891337136,0.7477776888027291,
1,54,ftt,1,0.8117647058823529,0.83417532980182,
2,54,ftt,2,0.8115800829690925,0.7693329073305218,
3,54,ftt,3,0.8403787661406026,0.7683791065237882,
4,54,ftt,4,0.8204533630620587,0.7883307481207493,
5,54,ftt,5,0.8335724533715925,0.7465041305554173,
6,54,ftt,6,0.7729794356767097,0.766089338805895,
7,54,ftt,7,0.8521441513228417,0.8158738535335163,
8,54,ftt,8,0.7714924129371139,0.7889296073004746,
9,54,ftt,9,0.7859133126934985,0.7856901324282228,
10,54,ftt,10,0.7755678789734517,0.7861916304669563,
11,54,ftt,11,0.7844444444444444,0.7445977407520007,
12,54,ftt,12,0.7409218232747644,0.7782909395098279,
13,54,ftt,13,0.7621201658958155,0.7897991007277616,
14,54,ftt,14,0.8352941176470589,0.7995750113096707,
15,54,ftt,15,0.7504988155216709,0.7566057173928102,
16,54,ftt,16,0.8691762138570649,0.767037899540343,
17,54,ftt,17,0.7366587701444731,0.7609105167121315,
18,54,ftt,18,0.8588235294117647,0.7708083262601136,
19,54,ftt,19,0.7403730272596843,0.7764978875225556,
20,54,ftt,20,0.7429757785467127,0.6728547299069441,
21,54,ftt,21,0.7983012372986797,0.7833234440179868,
22,54,ftt,22,0.8823529411764706,0.7672843496372909,
23,54,ftt,23,0.798000606935911,0.7764705882352941,
24,54,ftt,24,0.8216081471348228,0.7530913335698822,
25,54,ftt,25,0.7786305709554324,0.7234248366013072,
26,54,ftt,26,0.8480612088931496,0.7443009859789681,
27,54,ftt,27,0.8344427244582043,0.7786183462962782,
28,54,ftt,28,0.7856495776605215,0.794726492524939,
29,54,ftt,29,0.771976081212627,0.7889929037430445,
30,50,ftt,0,1.0,0.994782461632168,
31,50,ftt,1,1.0,0.994782461632168,
32,50,ftt,2,1.0,0.994782461632168,
33,50,ftt,3,1.0,1.0,
34,50,ftt,4,1.0,1.0,
35,50,ftt,5,1.0,1.0,
36,50,ftt,6,1.0,0.994782461632168,
37,50,ftt,7,1.0,1.0,
38,50,ftt,8,1.0,1.0,
39,50,ftt,9,1.0,1.0,
40,50,ftt,10,1.0,0.9842887261261803,
41,50,ftt,11,1.0,0.9895457551707552,
42,50,ftt,12,1.0,1.0,
43,50,ftt,13,1.0,1.0,
44,50,ftt,14,1.0,0.9791666666666666,
45,50,ftt,15,1.0,1.0,
46,50,ftt,16,1.0,0.994782461632168,
47,50,ftt,17,1.0,1.0,
48,50,ftt,18,1.0,1.0,
49,50,ftt,19,1.0,1.0,
50,50,ftt,20,1.0,1.0,
51,50,ftt,21,0.9895442156268928,0.9895457551707552,
52,50,ftt,22,1.0,1.0,
53,50,ftt,23,1.0,0.9790915103415104,
54,50,ftt,24,1.0,1.0,
55,50,ftt,25,1.0,0.9842887261261803,
56,50,ftt,26,1.0,0.9895457551707552,
57,50,ftt,27,1.0,1.0,
58,50,ftt,28,1.0,0.994782461632168,
59,50,ftt,29,1.0,1.0,
0,31,ftt,0,0.7525611569130963,0.7241071428571427,
1,31,ftt,1,0.7143308330043426,0.7541360294117646,
2,31,ftt,2,0.7394429469901168,0.7330071577421401,
3,31,ftt,3,0.735491512041058,0.7214340198321892,
4,31,ftt,4,0.7611842105263159,0.6914258756928884,
5,31,ftt,5,0.682213878459185,0.7198359594215411,
6,31,ftt,6,0.68,0.7223824451410656,
7,31,ftt,7,0.7171442447790188,0.7026647966339412,
8,31,ftt,8,0.6850311850311849,0.7011746758199847,
9,31,ftt,9,0.748024948024948,0.7156669332622413,
10,31,ftt,10,0.7423094904160823,0.7163214477127273,
11,31,ftt,11,0.7041301627033792,0.7042854152337091,
12,31,ftt,12,0.664033264033264,0.707000088051422,
13,31,ftt,13,0.8,0.6969402622632346,
14,31,ftt,14,0.804639498432602,0.6994603928340168,
15,31,ftt,15,0.7394736842105263,0.6809153318077804,
16,31,ftt,16,0.7566521910777735,0.7300237427153032,
17,31,ftt,17,0.7226666666666667,0.7200000000000002,
