,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
170,23,scarf,1,20,0.509833538783275,0.4177902052268472,0.4660738535544422,0.47524868719040037,0.44288872610497687,0.008898300594753689
171,23,scarf,1,21,0.5059667202368132,0.527399530196089,0.4509497828658435,0.4979668994996925,0.48591068726661946,0.008641315831078423
172,23,scarf,1,22,0.47687081052586844,0.5770744484549538,0.5141712314432013,0.5376511854819079,0.46726003437708247,0.00903174023569366
173,23,scarf,1,23,0.5129547151631387,0.5215260041792431,0.4806166417584794,0.4917816657220276,0.5409453507726587,0.008772461502640336
174,23,scarf,1,24,0.5356966937026757,0.5223050462698986,0.4882538169625984,0.513487899884702,0.45271100112226986,0.008520964119169448
175,23,scarf,1,25,0.5269522208000231,0.5733328301952587,0.5155256208730993,0.5498769182924057,0.4865297798364257,0.008610513475206163
176,23,scarf,1,26,0.49113287842101405,0.4920550348953141,0.44498580733105386,0.43879883064016445,0.4877518034910447,0.009001895233436866
177,23,scarf,1,27,0.5311438924605495,0.4755096658374012,0.4642504176596407,0.5206752401289487,0.4352960512402188,0.008499158753289117
178,23,scarf,1,28,0.5392655216048404,0.4952527688096296,0.4178509269335639,0.501974178523607,0.46283490554567724,0.008846728006998698
179,23,scarf,1,29,0.5433210395971239,0.5323521375438492,0.4567831566341882,0.5117055478741064,0.47800079393299727,0.00906062126159668
180,23,scarf,2,0,0.44012503730698543,0.5397345486903182,0.4784591679506933,0.5623641682719659,0.47931414306873477,0.008884959750705294
181,23,scarf,2,1,0.5382312612383306,0.5538980437925689,0.48395410739766176,0.5042353460109088,0.45999866846887855,0.009083498848809136
182,23,scarf,2,2,0.4761938663745893,0.4902642959536458,0.45979800281628525,0.4694428310920925,0.49143138003035064,0.008862924575805665
183,23,scarf,2,3,0.5812647260013681,0.5934207656544649,0.4989181773188326,0.51264489780382,0.49206005071408493,0.00901126331753201
184,23,scarf,2,4,0.5282450167853165,0.5688234142566049,0.4821373833647357,0.4845145980639499,0.48238874050995245,0.008621944321526421
185,23,scarf,2,5,0.5599875034612152,0.547345350002184,0.4780042369329267,0.48140018898843345,0.43117747024962216,0.009257313940260145
186,23,scarf,2,6,0.5674906980468496,0.551122823696979,0.522956349763209,0.514698251599699,0.44898665950708594,0.009330858786900839
187,23,scarf,2,7,0.533847223516609,0.559621395553599,0.49141212778682053,0.5070400821201,0.5170034281716324,0.009053030399361043
188,23,scarf,2,8,0.542138525802555,0.5353320707694877,0.49733067009501947,0.4902537518392817,0.4648067013926988,0.008294145266215006
189,23,scarf,2,9,0.5423422247600402,0.5943800499239559,0.5512202333808542,0.5749359871455968,0.5485596118540599,0.008985685579704515
190,23,scarf,2,10,0.5385396350690047,0.5263246530878579,0.41643466794280176,0.4532884809070242,0.4893061456540829,0.008879970621179652
191,23,scarf,2,11,0.5906907616291659,0.5224078372353221,0.5476184764987843,0.5225293682467962,0.47446156953697327,0.008852186657133557
192,23,scarf,2,12,0.5774642016366257,0.543764495985727,0.4129568428172564,0.5343018563357547,0.4997380413740031,0.008956241607666015
193,23,scarf,2,13,0.52072424826131,0.5090853517953717,0.5008170555138286,0.46752339046590313,0.38027823825735446,0.008933054076300727
194,23,scarf,2,14,0.5798196135939212,0.555680196333633,0.4844235086946951,0.5466006332091498,0.47886571230108904,0.008985487620035808
195,23,scarf,2,15,0.4820430891217093,0.4649594613851358,0.39310767973239097,0.4626187109001614,0.4212652069986315,0.008806270266336107
196,23,scarf,2,16,0.5956557865514822,0.5035772844084396,0.4795873964547941,0.5555261033940784,0.5035149880145082,0.00855494428564001
197,23,scarf,2,17,0.5336181151947805,0.5499759104269766,0.47473299830714283,0.4722903897939539,0.4222950932777001,0.00792072614034017
198,23,scarf,2,18,0.5673681901434322,0.5477209379849208,0.4404914569267149,0.5216087907727203,0.41061982897304444,0.009188899287471065
199,23,scarf,2,19,0.5652133821805746,0.5514869863959352,0.46146246973365623,0.4962242998834594,0.4967656731156928,0.00899036725362142
200,23,scarf,2,20,0.5186890650816471,0.4800168141340827,0.46375395345065284,0.5173324168652165,0.4892179235882398,0.008815602019981102
201,23,scarf,2,21,0.5303825624345214,0.5399602152369738,0.5131010000780803,0.47845996641699323,0.48482359182769674,0.008791128794352213
202,23,scarf,2,22,0.5863518966908797,0.5974754683318466,0.4701203346163203,0.569101949344593,0.4983281391502234,0.008836601719711765
203,23,scarf,2,23,0.5442779163232826,0.5326675886319536,0.4882510615561464,0.5352951975735614,0.46423644830499905,0.008975181314680312
204,23,scarf,2,24,0.5254701903588072,0.538996741253781,0.41944194273764535,0.46838541447617443,0.5136699475298772,0.008768818996570728
205,23,scarf,2,25,0.5295513085508952,0.5320183722646519,0.5320206339364489,0.5345810099612011,0.48018738388051496,0.008709660282841435
206,23,scarf,2,26,0.4927904863498083,0.5185117414425371,0.4661723456361666,0.5318922524114817,0.4737369477475896,0.008911536799536811
207,23,scarf,2,27,0.5198915467938187,0.4846309090600244,0.4742175989113867,0.49558243368024935,0.4535640561039438,0.00894086890750461
208,23,scarf,2,28,0.5109116136759839,0.5217563589509737,0.4745299902635079,0.5143929790375352,0.5191629025004697,0.008843598542390045
