,dataset,corruption,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
149,1067,pass,29,0.841387246806022,0,0,0,0,0.011017659353831458
150,1067,scarf,0,0.8488891177230873,0,0,0,0,0.014066156112786495
151,1067,scarf,1,0.8284112191673391,0,0,0,0,0.010982491351940014
152,1067,scarf,2,0.8481734926951516,0,0,0,0,0.017296969890594482
153,1067,scarf,3,0.8313890237118047,0,0,0,0,0.012516245697483872
154,1067,scarf,4,0.8425105509383274,0,0,0,0,0.01585869656668769
155,1067,scarf,5,0.8340062518906929,0,0,0,0,0.016029775142669678
156,1067,scarf,6,0.833178881578295,0,0,0,0,0.012831530150245218
157,1067,scarf,7,0.8264090339713105,0,0,0,0,0.012163062890370687
158,1067,scarf,8,0.8353855058296666,0,0,0,0,0.01305742859840393
159,1067,scarf,9,0.8326387100121329,0,0,0,0,0.010775782845237038
160,1067,scarf,10,0.8214710291311824,0,0,0,0,0.011773314740922716
161,1067,scarf,11,0.8555869485964271,0,0,0,0,0.011963762839635213
162,1067,scarf,12,0.8231924598225421,0,0,0,0,0.014575359721978506
163,1067,scarf,13,0.8145562882066075,0,0,0,0,0.015131860971450806
164,1067,scarf,14,0.8349796291677061,0,0,0,0,0.012289876029604957
165,1067,scarf,15,0.8060506438638064,0,0,0,0,0.01088934474521213
166,1067,scarf,16,0.8356624944302669,0,0,0,0,0.010144975036382675
167,1067,scarf,17,0.8266457819099888,0,0,0,0,0.013321531541419752
168,1067,scarf,18,0.8356624944302669,0,0,0,0,0.013734495639801026
169,1067,scarf,19,0.8290860444951241,0,0,0,0,0.01310398607026963
170,1067,scarf,20,0.8641552303061885,0,0,0,0,0.010695192075911023
171,1067,scarf,21,0.8372966568464197,0,0,0,0,0.010483627518018087
172,1067,scarf,22,0.8172988751499601,0,0,0,0,0.011415404081344605
173,1067,scarf,23,0.8394829618560289,0,0,0,0,0.012528816858927408
174,1067,scarf,24,0.81112152357357,0,0,0,0,0.011231974149361635
175,1067,scarf,25,0.8322448097951302,0,0,0,0,0.013529062271118164
