dataset,corruption,fold,val_score,test_score
1464,tabnet,11,0.8666667,0.7578427550357374
1464,tabnet,12,0.85333335,0.7021669394435353
1464,tabnet,13,0.8666667,0.7420000000000001
1464,tabnet,14,0.8,0.7467759912881942
1464,tabnet,15,0.7866667,0.7183683803361698
1464,tabnet,16,0.88,0.7328110274984176
1464,tabnet,17,0.82666665,0.7360361377752682
1464,tabnet,18,0.8666667,0.8022011385199241
1464,tabnet,19,0.85333335,0.7237699443413729
1464,tabnet,20,0.85333335,0.752533485323454
1464,tabnet,21,0.88,0.7576149068322982
1464,tabnet,22,0.8666667,0.7413995943204867
1464,tabnet,23,0.88,0.708311955552507
1464,tabnet,24,0.7866667,0.7685640074211502
1464,tabnet,25,0.84,0.7133333333333334
1464,tabnet,26,0.84,0.7379766315189513
1464,tabnet,27,0.8,0.7789310535703303
1464,tabnet,28,0.84,0.7750153555398063
1464,tabnet,29,0.8666667,0.7563333333333333
1475,tabnet,0,0.58006537,0.5336061661613151
1475,tabnet,1,0.5964052,0.5518387440560293
1475,tabnet,2,0.58006537,0.5346568946591888
1475,tabnet,3,0.5849673,0.4813442491565143
1475,tabnet,4,0.57843137,0.4378451305948863
1475,tabnet,5,0.60294116,0.5256220432379074
1475,tabnet,6,0.5866013,0.494756508459727
1475,tabnet,7,0.5506536,0.4931248425273172
1475,tabnet,8,0.5539216,0.5226039002592524
1475,tabnet,9,0.57679737,0.5223604623243407
1475,tabnet,10,0.58006537,0.5482598366014763
1475,tabnet,11,0.60457516,0.548872257152689
1475,tabnet,12,0.57679737,0.5026638843264343
1475,tabnet,13,0.5686275,0.5011618752551291
1475,tabnet,14,0.60784316,0.5648261164371378
1475,tabnet,15,0.54901963,0.4931230800781311
1475,tabnet,16,0.58986926,0.5497650533772053
1475,tabnet,17,0.5571895,0.5452847805508568
1475,tabnet,18,0.51960784,0.47453722981044094
1475,tabnet,19,0.5866013,0.556849822486046
1475,tabnet,20,0.5571895,0.5517845552735436
1475,tabnet,21,0.5669935,0.5555082223265668
1475,tabnet,22,0.59477127,0.5525938969073088
1475,tabnet,23,0.5996732,0.5160161356785536
1475,tabnet,24,0.60784316,0.551926132353983
1475,tabnet,25,0.5571895,0.4767240372090343
1475,tabnet,26,0.60294116,0.49940581801374856
1475,tabnet,27,0.5702614,0.536367757897759
1475,tabnet,28,0.59477127,0.5367452059794562
1475,tabnet,29,0.5882353,0.517890752702994
1485,tabnet,0,0.65384614,0.5919213456526891
1485,tabnet,1,0.65,0.6092902748218747
1485,tabnet,2,0.61923075,0.5761644363431587
1485,tabnet,3,0.6769231,0.5730706075533661
1485,tabnet,4,0.6576923,0.6246877024151013
1485,tabnet,5,0.6730769,0.5393198035399871
1485,tabnet,6,0.64615387,0.537633930556173
1485,tabnet,7,0.6730769,0.5422806083200189
1485,tabnet,8,0.6576923,0.548691472316183
1485,tabnet,9,0.6923077,0.5861941334320347
1485,tabnet,10,0.63461536,0.5954296892366513
1485,tabnet,11,0.6269231,0.6039751091297483
1485,tabnet,12,0.65,0.5653781860678413
1485,tabnet,13,0.6269231,0.5501112097166474
1485,tabnet,14,0.6615385,0.5470299323510334
1485,tabnet,15,0.6615385,0.5874301137459031
1485,tabnet,16,0.70384616,0.6114867363998165
1485,tabnet,17,0.71153843,0.5711522601784769
1485,tabnet,18,0.6846154,0.5758627337574705
1485,tabnet,19,0.61153847,0.5300740740740741
1485,tabnet,20,0.64615387,0.5670370904892481
1485,tabnet,21,0.6615385,0.558152505511864
1485,tabnet,22,0.6961538,0.5491930822922687
1485,tabnet,23,0.65,0.5865369324590698
1485,tabnet,24,0.6576923,0.5094540830974941
1485,tabnet,25,0.7153846,0.6056977780736894
