dataset,corruption,fold,test_score
40701,NPT,15,0.9065063013785004
40701,NPT,16,0.9057005057068528
40701,NPT,17,0.915091202582728
40701,NPT,18,0.9055754789381272
40701,NPT,19,0.9107977464788732
40701,NPT,20,0.9076900284900286
40701,NPT,21,0.9090110635548737
40701,NPT,22,0.9279992349345061
40701,NPT,23,0.9150605259846484
40701,NPT,24,0.9226056946468788
40701,NPT,25,0.9075874614748553
40701,NPT,26,0.9194626604068857
40701,NPT,27,0.9108539970999074
40701,NPT,28,0.912536012622083
40701,NPT,29,0.9100287162162162
1475,NPT,0,0.5765467976005146
1475,NPT,1,0.5633761312068944
1475,NPT,2,0.5724111745960281
1475,NPT,3,0.5811519016857304
1475,NPT,4,0.586623506997519
1475,NPT,5,0.5785179100187006
1475,NPT,6,0.5812945359400138
1475,NPT,7,0.5979739119096493
1475,NPT,8,0.5800160539731287
1475,NPT,9,0.561591558499675
1475,NPT,10,0.5662765653216453
1475,NPT,11,0.5888256116880142
1475,NPT,12,0.5753272931891948
1475,NPT,13,0.598837408417424
1475,NPT,14,0.5849820694310461
1475,NPT,15,0.5708888268557254
1475,NPT,16,0.570288078686639
1475,NPT,17,0.5660941274274959
1475,NPT,18,0.579417699814338
1475,NPT,19,0.5876085841330573
1475,NPT,20,0.5836098646434549
1475,NPT,21,0.5800094352988688
1475,NPT,22,0.555593435505119
1475,NPT,23,0.5831764248967808
1475,NPT,24,0.577994604908332
1475,NPT,25,0.597419663410086
1475,NPT,26,0.5989311526685706
1475,NPT,27,0.5725058942654423
1475,NPT,28,0.562668045122629
1475,NPT,29,0.5797392451780944
