dataset,corruption,npairs,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
1068,pass,loss=cluster-simclr-case2,9999,22,0.9334404309800702,0,0,0,0,0.0047100271383921
1068,pass,loss=cluster-simclr-case2,9999,23,0.9323876692297746,0,0,0,0,0.0046766224304835
1068,pass,loss=cluster-simclr-case2,9999,24,0.906816603372098,0,0,0,0,0.0046679526567459
1068,pass,loss=cluster-simclr-case2,9999,25,0.9212559039622146,0,0,0,0,0.0046070310672124
1068,pass,loss=cluster-simclr-case2,9999,26,0.9227121369019542,0,0,0,0,0.0046519140005111
1068,pass,loss=cluster-simclr-case2,9999,27,0.900727535764032,0,0,0,0,0.0046336742242177
1068,pass,loss=cluster-simclr-case2,9999,28,0.9194446244805956,0,0,0,0,0.004576205809911
1068,pass,loss=cluster-simclr-case2,9999,29,0.9227121369019542,0,0,0,0,0.0046669610738754
4134,pass,loss=cluster-simclr-case2,9999,0,0.7729866485460917,0,0,0,0,0.007856446814537
4134,pass,loss=cluster-simclr-case2,9999,1,0.7639707568638172,0,0,0,0,0.0077743502259254
4134,pass,loss=cluster-simclr-case2,9999,2,0.7819136919492685,0,0,0,0,0.0077640148520469
4134,pass,loss=cluster-simclr-case2,9999,3,0.7774946660688073,0,0,0,0,0.0078088264226913
4134,pass,loss=cluster-simclr-case2,9999,4,0.7563518708863406,0,0,0,0,0.009973890542984
4134,pass,loss=cluster-simclr-case2,9999,5,0.7706028860907969,0,0,0,0,0.0114204345703125
4134,pass,loss=cluster-simclr-case2,9999,6,0.7475341578855733,0,0,0,0,0.011220323061943
4134,pass,loss=cluster-simclr-case2,9999,7,0.7474412159000223,0,0,0,0,0.0113340366601943
4134,pass,loss=cluster-simclr-case2,9999,8,0.7606404038179216,0,0,0,0,0.0113183222651481
4134,pass,loss=cluster-simclr-case2,9999,9,0.7802678291046876,0,0,0,0,0.0112907688736915
4134,pass,loss=cluster-simclr-case2,9999,10,0.769438590676852,0,0,0,0,0.0112757528543472
4134,pass,loss=cluster-simclr-case2,9999,11,0.7933691919614847,0,0,0,0,0.0116188415527343
4134,pass,loss=cluster-simclr-case2,9999,12,0.7679354777895273,0,0,0,0,0.0120479675173759
4134,pass,loss=cluster-simclr-case2,9999,13,0.763377100574761,0,0,0,0,0.0115639489889144
4134,pass,loss=cluster-simclr-case2,9999,14,0.7592336236602971,0,0,0,0,0.0120675668001174
4134,pass,loss=cluster-simclr-case2,9999,15,0.7380945945320901,0,0,0,0,0.011681197476387
4134,pass,loss=cluster-simclr-case2,9999,16,0.7737855360787341,0,0,0,0,0.0120556364059448
4134,pass,loss=cluster-simclr-case2,9999,17,0.7446195809695848,0,0,0,0,0.0120072555541992
